"variable","SSres","SStot","ll","R2","N","AIC"
"r",1.23055325817746,12.3362434782609,-9.12722120973501,0.900248948527486,10,38.25444241947
"Protc",3.69199666346158,3.20738661823981,-31.655026452942,-0.151091871016074,10,83.310052905884
"DNAc",0.030525179033238,0.0252232114836218,-40.5417644092417,-0.210201922663932,10,101.083528818483
"r",0.553727216469177,12.3362434782609,-4.1070882231057,0.955113789911413,20,48.2141764462114
"Protc",1.5515636280868,3.20738661823981,-13.3030422742747,0.516253008208193,20,66.6060845485494
"DNAc",0.0174789489207334,0.0252232114836218,-23.2145216410996,0.307029204743295,20,86.4290432821992
"r",1.19884480308414,12.3362434782609,-8.89203424652762,0.902819297852157,19,55.7840684930552
"Protc",3.27542401003435,3.20738661823981,-28.083349778823,-0.021212719229927,19,94.166699557646
"DNAc",0.0284504695752599,0.0252232114836218,-37.7862561787613,-0.127947945634666,19,113.572512357523
"r",0.386573244855207,12.3362434782609,-2.8672790032544,0.968663617450772,35,75.7345580065088
"Protc",0.78661331401692,3.20738661823981,-6.74438996921947,0.754749455664746,35,83.4887799384389
"DNAc",0.019448000768228,0.0252232114836218,-25.829701588899,0.228964131674658,35,121.659403177798
